,13
952,"[(0, 3), (0, 9), (0, 11), (1, 2), (1, 4), (1, 5), (1, 9), (2, 6), (2, 10), (2, 12), (3, 4), (3, 5), (3, 6), (3, 11), (3, 12), (4, 10), (5, 8), (5, 9), (6, 8), (6, 11), (7, 8), (7, 9), (7, 12), (10, 11)]"
953,"[(0, 2), (0, 6), (0, 8), (1, 2), (1, 4), (1, 8), (1, 10), (1, 12), (2, 3), (3, 6), (4, 5), (4, 7), (4, 8), (5, 9), (5, 11), (6, 10), (6, 12), (8, 12), (9, 10), (9, 11), (11, 12)]"
954,"[(0, 5), (0, 6), (0, 7), (1, 2), (1, 3), (1, 7), (1, 11), (2, 4), (2, 8), (2, 11), (2, 12), (3, 5), (4, 5), (4, 6), (4, 10), (5, 9), (5, 12), (6, 8), (6, 9), (7, 10), (8, 9), (8, 12), (9, 11), (10, 12)]"
955,"[(0, 2), (0, 7), (1, 7), (1, 8), (1, 10), (1, 11), (2, 9), (2, 11), (2, 12), (3, 5), (3, 6), (3, 7), (3, 12), (4, 6), (4, 9), (4, 10), (4, 12), (5, 9), (5, 11), (6, 8), (6, 11), (8, 10), (8, 12), (9, 12)]"
956,"[(0, 4), (0, 6), (0, 9), (1, 3), (1, 6), (1, 7), (1, 9), (2, 8), (2, 10), (3, 4), (3, 6), (3, 8), (3, 12), (5, 6), (5, 10), (5, 12), (6, 11), (7, 9), (7, 11), (7, 12), (9, 10)]"
957,"[(0, 4), (0, 9), (0, 10), (0, 12), (1, 5), (1, 6), (1, 7), (1, 10), (2, 3), (2, 5), (2, 11), (3, 6), (3, 8), (3, 10), (3, 12), (4, 5), (4, 6), (4, 8), (4, 11), (5, 8), (6, 12), (7, 11), (8, 9), (8, 10), (9, 11), (9, 12)]"
958,"[(0, 4), (0, 5), (0, 8), (0, 9), (0, 12), (1, 6), (1, 12), (2, 6), (2, 8), (2, 9), (2, 11), (3, 5), (3, 10), (3, 11), (4, 9), (4, 10), (5, 8), (5, 11), (6, 10), (7, 9), (7, 11), (7, 12), (8, 12)]"
959,"[(0, 1), (0, 2), (0, 6), (0, 9), (0, 12), (1, 3), (1, 5), (1, 7), (2, 3), (2, 8), (2, 11), (3, 5), (3, 6), (3, 11), (4, 7), (4, 8), (4, 11), (4, 12), (5, 6), (5, 9), (6, 10), (7, 10), (7, 12), (8, 10), (9, 11), (11, 12)]"
960,"[(0, 3), (0, 6), (0, 9), (0, 10), (1, 2), (1, 5), (1, 7), (1, 12), (2, 3), (2, 4), (2, 5), (2, 8), (3, 8), (3, 10), (4, 9), (4, 11), (5, 9), (5, 10), (6, 10), (6, 11), (6, 12), (7, 8), (7, 9), (7, 10), (8, 9), (9, 12), (11, 12)]"
961,"[(0, 2), (0, 4), (0, 7), (1, 4), (1, 7), (1, 8), (1, 11), (2, 5), (2, 10), (2, 11), (3, 5), (3, 6), (3, 8), (3, 10), (4, 6), (4, 10), (5, 7), (5, 11), (6, 8), (6, 12), (7, 9), (8, 11), (9, 10), (9, 12), (11, 12)]"
962,"[(0, 1), (0, 2), (0, 5), (0, 8), (0, 11), (1, 4), (1, 7), (1, 10), (1, 11), (2, 3), (2, 8), (2, 12), (3, 10), (3, 11), (3, 12), (4, 9), (4, 11), (5, 6), (6, 7), (6, 9), (6, 12), (7, 10), (7, 12), (8, 9), (8, 11), (9, 10)]"
963,"[(0, 2), (0, 4), (0, 5), (0, 10), (0, 12), (1, 8), (1, 11), (1, 12), (2, 6), (2, 11), (2, 12), (3, 6), (3, 9), (3, 10), (3, 12), (4, 5), (4, 6), (4, 7), (4, 12), (5, 6), (5, 9), (6, 8), (7, 8), (7, 10), (8, 9), (8, 11)]"
964,"[(0, 6), (0, 7), (1, 5), (1, 6), (1, 8), (1, 9), (2, 9), (2, 11), (2, 12), (3, 4), (3, 6), (3, 7), (3, 9), (4, 7), (4, 10), (5, 6), (5, 11), (6, 8), (6, 10), (8, 10), (8, 12), (9, 11), (10, 12)]"
965,"[(0, 1), (0, 3), (0, 6), (0, 10), (1, 2), (1, 9), (2, 3), (2, 7), (2, 8), (3, 6), (3, 10), (3, 11), (4, 5), (4, 12), (5, 6), (5, 7), (6, 9), (6, 12), (7, 10), (8, 9), (8, 11), (8, 12), (10, 12), (11, 12)]"
966,"[(0, 4), (0, 6), (0, 8), (0, 11), (1, 7), (1, 10), (2, 8), (2, 9), (2, 11), (3, 5), (3, 6), (3, 7), (3, 9), (4, 10), (4, 11), (4, 12), (5, 6), (5, 8), (5, 12), (6, 7), (7, 8), (8, 12), (9, 10), (9, 11), (10, 11)]"
967,"[(0, 6), (1, 6), (2, 6), (2, 7), (3, 6), (4, 6), (5, 8), (6, 8), (6, 9), (6, 10), (6, 11), (6, 12)]"
968,"[(0, 1), (0, 3), (0, 5), (1, 12), (2, 10), (2, 12), (4, 6), (5, 7), (6, 8), (6, 9), (7, 12), (9, 12), (11, 12)]"
969,"[(0, 4), (1, 4), (1, 8), (2, 4), (3, 4), (3, 12), (4, 5), (4, 9), (4, 11), (6, 9), (7, 8), (10, 11)]"
970,"[(0, 6), (0, 8), (1, 6), (2, 6), (2, 11), (3, 6), (4, 10), (4, 11), (5, 6), (6, 7), (6, 9), (6, 10), (6, 12)]"
971,"[(0, 1), (0, 6), (0, 10), (2, 9), (2, 12), (3, 9), (3, 11), (4, 12), (5, 7), (5, 12), (6, 8), (6, 9), (8, 12), (10, 12), (11, 12)]"
972,"[(0, 4), (1, 4), (1, 11), (2, 4), (3, 5), (3, 10), (4, 6), (4, 7), (4, 8), (4, 9), (4, 10), (4, 12), (5, 11)]"
973,"[(0, 8), (1, 5), (1, 9), (2, 4), (2, 6), (3, 4), (3, 12), (5, 11), (6, 7), (6, 8), (6, 10), (6, 11), (6, 12)]"
974,"[(0, 6), (0, 12), (1, 6), (1, 7), (2, 7), (3, 7), (4, 7), (5, 7), (7, 8), (7, 9), (7, 10), (7, 11), (7, 12)]"
975,"[(0, 6), (0, 7), (1, 5), (2, 6), (2, 8), (3, 6), (4, 6), (5, 6), (6, 10), (6, 11), (6, 12), (8, 9)]"
976,"[(0, 6), (0, 12), (1, 4), (2, 4), (2, 8), (3, 4), (4, 5), (4, 7), (4, 9), (4, 10), (4, 11), (4, 12)]"
977,"[(0, 1), (0, 2), (0, 3), (0, 6), (0, 7), (0, 9), (0, 10), (0, 12), (2, 11), (4, 12), (5, 7), (5, 11), (6, 8)]"
978,"[(0, 4), (0, 7), (1, 4), (1, 11), (2, 5), (2, 6), (3, 11), (4, 6), (4, 9), (4, 12), (5, 8), (7, 10), (8, 9)]"
979,"[(0, 10), (0, 12), (1, 4), (1, 9), (2, 4), (3, 4), (4, 5), (4, 6), (4, 7), (4, 8), (4, 10), (7, 11), (11, 12)]"
980,"[(0, 1), (1, 5), (1, 6), (1, 8), (1, 9), (1, 11), (2, 9), (2, 12), (3, 4), (3, 11), (7, 10), (8, 10)]"
981,"[(0, 1), (0, 9), (2, 9), (3, 7), (3, 9), (4, 9), (5, 9), (6, 9), (7, 8), (7, 10), (7, 11), (9, 12)]"
982,"[(0, 8), (0, 10), (1, 8), (2, 8), (3, 8), (4, 8), (5, 8), (6, 8), (7, 8), (8, 9), (8, 11), (8, 12)]"
983,"[(0, 10), (0, 12), (1, 8), (1, 9), (1, 10), (2, 12), (3, 12), (4, 7), (5, 12), (6, 11), (6, 12), (7, 12), (8, 12)]"
984,"[(0, 2), (0, 4), (1, 10), (1, 11), (3, 10), (4, 10), (5, 10), (6, 10), (7, 10), (8, 11), (9, 10), (10, 12)]"
985,"[(0, 6), (1, 6), (2, 6), (3, 6), (4, 6), (5, 6), (6, 7), (6, 8), (6, 9), (6, 10), (6, 11), (6, 12)]"
986,"[(0, 1), (0, 2), (0, 3), (0, 5), (0, 6), (0, 8), (0, 11), (0, 12), (2, 7), (3, 10), (4, 10), (9, 10), (9, 11)]"
987,"[(0, 2), (1, 2), (2, 3), (2, 5), (2, 6), (2, 7), (2, 9), (2, 11), (2, 12), (4, 12), (6, 8), (10, 11)]"
988,"[(0, 1), (0, 3), (0, 5), (0, 6), (0, 8), (0, 10), (0, 12), (1, 7), (2, 7), (3, 11), (4, 5), (4, 9), (4, 11), (7, 9)]"
989,"[(0, 8), (0, 12), (1, 6), (1, 9), (1, 12), (2, 12), (3, 12), (4, 12), (5, 10), (7, 10), (7, 12), (11, 12)]"
990,"[(0, 2), (0, 10), (1, 4), (1, 8), (2, 4), (3, 4), (4, 5), (4, 6), (4, 7), (4, 11), (5, 9), (7, 12), (8, 9), (10, 12)]"
991,"[(0, 6), (1, 3), (2, 8), (3, 9), (3, 12), (4, 8), (5, 12), (6, 8), (7, 8), (7, 12), (8, 9), (8, 11), (10, 11)]"
992,"[(0, 11), (1, 10), (2, 11), (3, 4), (3, 10), (4, 11), (5, 10), (5, 11), (6, 11), (7, 11), (8, 11), (9, 11), (11, 12)]"
993,"[(0, 4), (0, 5), (0, 10), (1, 2), (1, 6), (1, 9), (1, 10), (1, 11), (1, 12), (2, 3), (3, 8), (7, 9)]"
994,"[(0, 9), (1, 9), (2, 9), (3, 9), (4, 9), (5, 9), (6, 9), (7, 9), (8, 11), (8, 12), (9, 10), (9, 12)]"
995,"[(0, 2), (1, 3), (2, 6), (2, 8), (3, 4), (3, 5), (3, 7), (3, 8), (3, 9), (3, 10), (3, 12), (11, 12)]"
996,"[(0, 10), (0, 11), (1, 3), (1, 12), (2, 12), (3, 6), (3, 8), (4, 12), (5, 12), (7, 12), (8, 11), (9, 12), (10, 12)]"
997,"[(0, 9), (1, 9), (2, 6), (2, 8), (2, 10), (3, 9), (4, 9), (5, 11), (5, 12), (6, 9), (7, 9), (7, 11), (9, 12)]"
998,"[(0, 2), (0, 11), (1, 4), (1, 11), (2, 7), (3, 4), (3, 9), (4, 6), (4, 7), (4, 10), (4, 12), (5, 8), (8, 10)]"
999,"[(0, 7), (1, 6), (1, 7), (2, 7), (3, 7), (3, 11), (4, 12), (5, 7), (5, 12), (6, 12), (7, 9), (7, 10), (8, 12)]"
1000,"[(0, 9), (1, 5), (1, 6), (2, 6), (3, 6), (4, 6), (6, 8), (6, 9), (6, 11), (6, 12), (7, 12), (10, 11)]"
1001,"[(0, 3), (1, 3), (2, 3), (2, 5), (3, 6), (3, 9), (3, 10), (3, 11), (4, 7), (4, 12), (5, 8), (7, 9), (10, 12)]"
1002,"[(0, 1), (0, 7), (1, 2), (2, 4), (2, 11), (3, 9), (3, 11), (4, 9), (5, 11), (6, 11), (7, 11), (8, 11), (10, 11), (11, 12)]"
1003,"[(0, 2), (1, 2), (1, 3), (2, 4), (2, 6), (2, 8), (2, 10), (2, 12), (3, 7), (3, 11), (4, 5), (8, 9)]"
1004,"[(0, 1), (0, 2), (0, 4), (0, 5), (0, 6), (0, 10), (1, 7), (2, 11), (3, 11), (5, 8), (7, 8), (8, 12), (9, 11)]"
1005,"[(0, 4), (1, 4), (2, 4), (2, 7), (3, 4), (4, 6), (4, 8), (4, 9), (4, 11), (5, 8), (7, 12), (10, 12)]"
1006,"[(0, 4), (1, 2), (1, 8), (2, 4), (3, 4), (3, 12), (4, 5), (4, 6), (4, 7), (4, 10), (4, 11), (8, 10), (9, 11), (9, 12)]"
1007,"[(0, 2), (0, 3), (0, 8), (1, 5), (1, 11), (4, 12), (5, 7), (6, 12), (7, 12), (8, 12), (9, 12), (10, 11), (10, 12)]"
1008,"[(0, 1), (0, 10), (1, 4), (1, 5), (1, 7), (1, 8), (1, 9), (1, 12), (2, 3), (2, 9), (3, 7), (3, 11), (4, 6), (6, 11)]"
1009,"[(0, 2), (0, 4), (0, 5), (0, 7), (0, 8), (0, 10), (0, 12), (1, 4), (1, 11), (2, 3), (3, 9), (6, 12), (10, 11)]"
1010,"[(0, 10), (1, 10), (2, 10), (3, 4), (3, 11), (4, 10), (5, 10), (6, 8), (6, 11), (7, 10), (8, 9), (9, 10), (10, 12)]"
1011,"[(0, 2), (0, 12), (1, 7), (2, 8), (3, 7), (4, 7), (5, 7), (6, 8), (7, 9), (7, 10), (7, 11), (7, 12), (8, 9)]"
1012,"[(0, 4), (0, 6), (0, 7), (0, 8), (0, 11), (1, 8), (2, 5), (2, 7), (3, 4), (3, 9), (9, 12), (10, 11), (10, 12)]"
1013,"[(0, 7), (1, 8), (2, 8), (3, 8), (4, 8), (4, 10), (5, 10), (6, 8), (7, 8), (8, 12), (9, 11), (9, 12)]"
1014,"[(0, 12), (1, 8), (1, 11), (2, 6), (2, 11), (3, 10), (3, 11), (4, 11), (5, 6), (5, 12), (7, 11), (7, 12), (9, 11)]"
1015,"[(0, 1), (0, 2), (1, 6), (2, 3), (2, 5), (2, 7), (2, 8), (2, 9), (4, 10), (4, 11), (6, 11), (7, 12), (8, 11), (10, 12)]"
1016,"[(0, 5), (1, 7), (2, 7), (3, 7), (4, 7), (5, 6), (5, 7), (7, 8), (7, 9), (7, 10), (7, 11), (7, 12)]"
1017,"[(0, 6), (1, 4), (2, 10), (2, 11), (3, 9), (4, 6), (4, 7), (4, 8), (4, 10), (4, 12), (5, 8), (7, 9)]"
1018,"[(0, 3), (1, 2), (1, 8), (1, 10), (3, 6), (4, 10), (5, 10), (6, 10), (7, 10), (8, 10), (8, 12), (9, 10), (10, 11)]"
1019,"[(0, 2), (0, 9), (1, 9), (1, 11), (2, 11), (3, 8), (3, 9), (4, 5), (4, 9), (4, 10), (5, 8), (6, 7), (6, 10), (7, 9), (9, 12)]"
1020,"[(0, 6), (0, 8), (1, 2), (1, 7), (2, 6), (3, 6), (4, 6), (4, 7), (5, 6), (5, 11), (6, 12), (7, 10), (9, 12)]"
1021,"[(0, 10), (1, 4), (1, 6), (2, 3), (2, 4), (2, 12), (3, 6), (5, 8), (5, 9), (6, 9), (6, 10), (6, 11), (7, 11)]"
1022,"[(0, 4), (1, 10), (2, 11), (3, 10), (4, 10), (5, 7), (5, 10), (5, 12), (6, 10), (8, 10), (9, 10), (10, 11)]"
1023,"[(0, 2), (1, 2), (1, 12), (2, 3), (2, 5), (2, 7), (2, 8), (3, 4), (3, 9), (4, 6), (4, 10), (6, 9), (8, 11), (9, 11)]"
1024,"[(0, 2), (0, 11), (1, 11), (1, 12), (2, 5), (3, 4), (3, 8), (3, 11), (5, 7), (6, 10), (7, 11), (8, 12), (9, 11), (10, 11)]"
1025,"[(0, 11), (1, 11), (2, 7), (2, 11), (3, 6), (3, 11), (4, 11), (5, 11), (6, 8), (7, 12), (8, 9), (9, 11), (10, 11)]"
1026,"[(0, 7), (0, 10), (1, 10), (2, 10), (3, 5), (3, 7), (4, 6), (4, 10), (5, 9), (7, 11), (8, 10), (9, 10), (10, 12)]"
1027,"[(0, 7), (1, 4), (1, 7), (2, 3), (2, 8), (2, 10), (2, 12), (3, 5), (5, 7), (6, 7), (6, 8), (7, 10), (7, 11), (8, 9)]"
1028,"[(0, 1), (1, 2), (1, 5), (1, 6), (1, 7), (1, 8), (1, 9), (1, 11), (3, 6), (3, 7), (3, 10), (4, 7), (4, 9), (4, 12)]"
1029,"[(0, 2), (0, 8), (1, 6), (1, 8), (3, 10), (4, 10), (5, 11), (6, 12), (7, 8), (8, 9), (8, 11), (9, 10)]"
1030,"[(0, 6), (1, 6), (2, 6), (2, 7), (3, 7), (4, 6), (5, 8), (5, 9), (5, 12), (6, 9), (6, 11), (8, 10), (10, 11)]"
1031,"[(0, 11), (0, 12), (1, 6), (1, 9), (2, 7), (3, 12), (4, 9), (4, 12), (5, 8), (5, 12), (6, 12), (7, 12), (10, 12)]"
1032,"[(0, 11), (1, 2), (1, 11), (2, 7), (3, 11), (3, 12), (4, 8), (5, 12), (6, 10), (6, 11), (8, 11), (9, 11), (10, 12)]"
1033,"[(0, 9), (1, 9), (2, 7), (2, 8), (3, 12), (4, 5), (4, 9), (5, 8), (5, 11), (6, 8), (6, 9), (7, 9), (9, 10), (9, 12)]"
1034,"[(0, 3), (0, 9), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 8), (1, 10), (2, 4), (2, 12), (6, 11), (8, 9), (8, 12), (11, 12)]"
1035,"[(0, 7), (1, 2), (1, 3), (1, 7), (1, 9), (1, 10), (1, 11), (2, 8), (3, 5), (4, 10), (4, 12), (5, 8), (6, 8), (6, 9), (9, 12)]"
1036,"[(0, 2), (1, 9), (1, 10), (2, 8), (3, 5), (3, 7), (4, 11), (5, 10), (6, 7), (6, 10), (7, 9), (8, 10), (10, 11), (10, 12)]"
1037,"[(0, 1), (0, 2), (0, 5), (0, 6), (0, 7), (0, 8), (0, 12), (1, 9), (3, 4), (3, 8), (9, 10), (9, 11)]"
1038,"[(0, 3), (1, 7), (2, 3), (3, 4), (3, 6), (3, 7), (3, 10), (3, 11), (4, 8), (5, 8), (5, 11), (6, 12), (8, 9), (9, 10), (9, 12)]"
1039,"[(0, 1), (1, 8), (2, 8), (3, 5), (3, 8), (4, 8), (5, 9), (5, 12), (6, 11), (7, 8), (8, 10), (8, 11), (11, 12)]"
1040,"[(0, 1), (0, 10), (1, 6), (1, 7), (1, 12), (2, 10), (3, 10), (4, 7), (4, 10), (5, 10), (8, 10), (9, 10), (10, 11)]"
1041,"[(0, 1), (0, 8), (2, 6), (2, 9), (3, 7), (3, 10), (4, 7), (5, 9), (5, 10), (6, 7), (7, 8), (7, 11), (7, 12)]"
1042,"[(0, 3), (0, 8), (0, 11), (1, 8), (2, 8), (3, 8), (3, 9), (4, 6), (4, 8), (5, 8), (6, 9), (7, 8), (8, 10), (8, 12)]"
1043,"[(0, 8), (1, 8), (2, 8), (3, 9), (3, 10), (3, 12), (4, 8), (4, 10), (5, 8), (5, 12), (6, 8), (7, 8), (8, 9), (10, 11)]"
1044,"[(0, 4), (0, 5), (1, 5), (2, 6), (2, 10), (3, 9), (3, 12), (4, 8), (5, 6), (5, 7), (5, 11), (5, 12), (10, 11)]"
1045,"[(0, 2), (0, 12), (1, 9), (1, 12), (2, 3), (2, 10), (4, 6), (4, 11), (5, 6), (5, 12), (7, 9), (8, 12), (11, 12)]"
1046,"[(0, 7), (0, 12), (1, 2), (1, 11), (2, 3), (3, 6), (4, 7), (4, 8), (5, 7), (6, 7), (7, 9), (7, 10), (7, 11)]"
1047,"[(0, 9), (1, 11), (2, 3), (2, 9), (3, 7), (4, 7), (5, 7), (6, 7), (6, 9), (8, 9), (9, 10), (9, 12), (11, 12)]"
1048,"[(0, 2), (0, 5), (1, 5), (2, 4), (2, 6), (2, 9), (2, 10), (3, 6), (7, 8), (7, 11), (10, 11), (11, 12)]"
1049,"[(0, 2), (0, 11), (0, 12), (1, 5), (1, 9), (2, 10), (3, 9), (3, 10), (4, 10), (5, 8), (6, 9), (6, 11), (7, 10), (7, 12), (8, 10)]"
1050,"[(0, 4), (0, 11), (1, 5), (1, 11), (2, 4), (3, 4), (4, 8), (4, 10), (4, 12), (5, 6), (6, 7), (6, 8), (6, 9)]"
1051,"[(0, 5), (0, 6), (0, 7), (0, 10), (0, 11), (0, 12), (1, 3), (1, 7), (2, 10), (3, 4), (4, 8), (5, 8), (8, 9), (9, 11)]"
1052,"[(0, 4), (0, 11), (1, 5), (1, 8), (2, 4), (3, 8), (5, 11), (6, 11), (7, 11), (8, 12), (9, 11), (10, 11), (11, 12)]"
1053,"[(0, 2), (0, 3), (0, 5), (0, 6), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (1, 4), (1, 11), (4, 5), (4, 7), (7, 10)]"
1054,"[(0, 9), (1, 10), (1, 11), (2, 4), (2, 5), (2, 7), (2, 8), (2, 9), (2, 12), (3, 7), (3, 11), (4, 6), (10, 12)]"
1055,"[(0, 9), (1, 6), (1, 9), (2, 9), (3, 6), (3, 8), (4, 9), (5, 6), (5, 7), (6, 12), (7, 9), (8, 9), (9, 10), (10, 11)]"
1056,"[(0, 2), (0, 6), (1, 2), (1, 3), (2, 4), (2, 10), (2, 12), (3, 8), (5, 10), (6, 8), (6, 11), (7, 9), (7, 12)]"
1057,"[(0, 2), (0, 8), (1, 9), (1, 10), (2, 6), (3, 4), (3, 7), (3, 10), (4, 6), (5, 6), (5, 8), (6, 9), (6, 11), (6, 12)]"
1058,"[(0, 1), (0, 9), (1, 2), (1, 4), (1, 10), (3, 9), (4, 8), (5, 9), (6, 9), (7, 9), (8, 10), (8, 12), (9, 11), (9, 12)]"
1059,"[(0, 1), (0, 6), (0, 7), (1, 3), (2, 11), (2, 12), (3, 12), (4, 12), (5, 7), (6, 11), (7, 8), (8, 12), (9, 12), (10, 12)]"
1060,"[(0, 11), (1, 3), (1, 4), (1, 11), (2, 7), (2, 11), (3, 7), (5, 8), (5, 11), (6, 11), (8, 12), (9, 11), (10, 11)]"
1061,"[(0, 2), (0, 5), (0, 8), (1, 5), (3, 5), (3, 9), (4, 5), (5, 6), (5, 7), (5, 11), (5, 12), (9, 10)]"
1062,"[(0, 2), (0, 11), (1, 6), (1, 10), (1, 12), (2, 12), (3, 11), (4, 11), (5, 11), (6, 11), (7, 8), (7, 11), (8, 10), (9, 11)]"
1063,"[(0, 3), (0, 12), (1, 2), (1, 3), (1, 7), (1, 9), (3, 8), (4, 10), (5, 12), (6, 9), (6, 12), (7, 12), (10, 11), (11, 12)]"
1064,"[(0, 4), (0, 12), (1, 3), (1, 5), (1, 10), (2, 4), (2, 5), (2, 10), (5, 8), (5, 9), (5, 12), (6, 8), (6, 10), (7, 11), (9, 10), (9, 11), (10, 12)]"
1065,"[(0, 4), (1, 4), (1, 10), (2, 4), (3, 5), (3, 12), (4, 6), (4, 8), (4, 9), (4, 11), (4, 12), (5, 7), (5, 9), (5, 10)]"
1066,"[(0, 2), (0, 8), (0, 10), (0, 11), (1, 3), (1, 5), (1, 8), (1, 12), (2, 3), (2, 11), (2, 12), (3, 7), (3, 8), (3, 9), (4, 6), (4, 7), (4, 8), (4, 11), (4, 12), (5, 9), (5, 11), (5, 12), (6, 9), (6, 11), (7, 12), (9, 10), (10, 12)]"
1067,"[(0, 5), (0, 6), (0, 12), (1, 2), (1, 3), (1, 5), (1, 7), (2, 3), (2, 4), (3, 5), (3, 9), (4, 7), (4, 10), (4, 11), (6, 7), (6, 9), (6, 10), (7, 10), (8, 9), (8, 11), (8, 12), (9, 12), (10, 11), (10, 12)]"
1068,"[(0, 1), (0, 7), (0, 9), (0, 11), (0, 12), (1, 4), (1, 5), (1, 10), (2, 5), (2, 7), (2, 9), (3, 4), (3, 8), (3, 11), (4, 6), (4, 9), (6, 9), (6, 11), (6, 12), (7, 8), (8, 10), (9, 11), (10, 12), (11, 12)]"
1069,"[(0, 2), (0, 7), (0, 9), (1, 4), (1, 5), (1, 11), (2, 3), (2, 4), (2, 9), (2, 11), (3, 11), (3, 12), (4, 10), (5, 6), (5, 8), (5, 9), (6, 10), (6, 11), (7, 12), (8, 10), (8, 12), (9, 11), (10, 12)]"
1070,"[(0, 3), (0, 6), (0, 8), (0, 10), (1, 4), (1, 6), (1, 7), (2, 4), (2, 5), (2, 8), (2, 9), (2, 12), (3, 4), (3, 9), (3, 12), (4, 6), (4, 10), (5, 7), (5, 9), (5, 11), (6, 8), (7, 11), (8, 11), (8, 12), (10, 11)]"
1071,"[(0, 2), (0, 3), (0, 7), (0, 11), (1, 3), (1, 5), (1, 11), (2, 5), (2, 10), (2, 12), (3, 4), (3, 6), (4, 6), (4, 7), (4, 10), (5, 6), (5, 7), (5, 8), (6, 9), (7, 8), (7, 10), (8, 9), (9, 11), (9, 12), (11, 12)]"
1072,"[(0, 2), (0, 6), (0, 10), (1, 2), (1, 8), (1, 9), (1, 11), (2, 3), (2, 6), (3, 4), (3, 6), (3, 9), (3, 11), (4, 11), (4, 12), (5, 6), (5, 7), (5, 8), (5, 12), (6, 12), (7, 10), (7, 11), (8, 10), (9, 10), (9, 12)]"
1073,"[(0, 2), (0, 4), (0, 5), (0, 6), (0, 9), (0, 11), (1, 2), (1, 9), (1, 10), (1, 12), (2, 5), (2, 8), (2, 9), (3, 4), (3, 7), (4, 5), (5, 10), (6, 8), (6, 9), (6, 10), (7, 9), (7, 10), (7, 11), (8, 12), (10, 11), (11, 12)]"
1074,"[(0, 4), (0, 9), (0, 10), (0, 11), (1, 5), (1, 9), (1, 10), (1, 11), (1, 12), (2, 4), (2, 7), (2, 10), (3, 7), (3, 8), (3, 12), (4, 5), (5, 6), (5, 12), (6, 8), (6, 9), (7, 9), (7, 10), (8, 11)]"
1075,"[(0, 3), (0, 4), (0, 8), (1, 7), (1, 8), (1, 11), (1, 12), (2, 3), (2, 8), (2, 12), (3, 9), (4, 5), (4, 10), (5, 6), (5, 7), (5, 9), (5, 11), (5, 12), (6, 8), (6, 10), (6, 12), (7, 8), (8, 9), (9, 10), (9, 11), (10, 11)]"
1076,"[(0, 3), (0, 9), (0, 10), (0, 12), (1, 2), (1, 5), (1, 6), (1, 11), (2, 4), (2, 12), (3, 6), (3, 7), (3, 9), (4, 9), (4, 11), (5, 6), (5, 12), (6, 8), (7, 10), (7, 11), (8, 9), (8, 10), (10, 12)]"
1077,"[(0, 2), (0, 5), (0, 9), (0, 12), (1, 5), (1, 6), (2, 7), (2, 8), (3, 4), (3, 5), (3, 7), (3, 10), (4, 5), (4, 8), (6, 10), (6, 11), (6, 12), (7, 10), (7, 11), (7, 12), (8, 11), (9, 10), (9, 11)]"
1078,"[(0, 2), (0, 9), (0, 12), (1, 2), (1, 8), (1, 10), (2, 3), (2, 4), (3, 5), (3, 6), (3, 7), (4, 8), (4, 12), (5, 6), (5, 8), (6, 7), (6, 11), (7, 12), (8, 10), (9, 10), (10, 11)]"
1079,"[(0, 2), (0, 8), (0, 9), (1, 3), (1, 4), (1, 5), (1, 10), (1, 12), (2, 3), (2, 7), (2, 8), (3, 7), (3, 11), (4, 6), (4, 8), (5, 9), (6, 7), (6, 12), (8, 10), (8, 11), (9, 11), (9, 12), (10, 12)]"
1080,"[(0, 3), (0, 7), (0, 9), (1, 3), (1, 4), (1, 5), (1, 8), (2, 5), (2, 7), (2, 8), (2, 10), (2, 11), (3, 9), (3, 10), (3, 12), (4, 6), (4, 7), (4, 8), (5, 6), (6, 9), (6, 10), (11, 12)]"
1081,"[(0, 1), (0, 7), (1, 2), (1, 3), (1, 10), (2, 4), (3, 6), (3, 12), (4, 9), (5, 8), (5, 11), (5, 12), (6, 9), (7, 10), (7, 12), (8, 9), (10, 11)]"
1082,"[(0, 6), (0, 8), (0, 11), (0, 12), (1, 4), (1, 7), (1, 10), (2, 5), (2, 7), (2, 11), (3, 5), (3, 9), (3, 11), (4, 9), (4, 12), (5, 10), (5, 12), (6, 10), (7, 8), (7, 9), (8, 12), (10, 11)]"
1083,"[(0, 2), (0, 3), (0, 6), (0, 7), (0, 9), (1, 2), (1, 5), (1, 9), (1, 11), (1, 12), (2, 5), (2, 11), (3, 5), (3, 8), (3, 12), (4, 6), (4, 7), (4, 8), (4, 11), (5, 7), (6, 8), (6, 10), (7, 9), (8, 9), (10, 12), (11, 12)]"
1084,"[(0, 4), (0, 12), (1, 8), (1, 9), (2, 3), (2, 4), (2, 6), (2, 8), (2, 11), (3, 8), (3, 10), (4, 9), (5, 6), (5, 9), (6, 7), (9, 11), (10, 11), (10, 12), (11, 12)]"
1085,"[(0, 7), (0, 8), (1, 4), (1, 5), (1, 12), (2, 3), (2, 4), (2, 9), (2, 10), (3, 11), (4, 6), (4, 7), (4, 12), (5, 8), (5, 11), (6, 8), (6, 9), (6, 10), (6, 11), (7, 12), (8, 10), (9, 10), (9, 12)]"
1086,"[(0, 8), (1, 10), (2, 3), (3, 6), (4, 7), (4, 9), (5, 11), (6, 8), (6, 9), (6, 12), (7, 10), (11, 12)]"
